ppt,group,attitude,trustworthiness,credibility,evaluation
223,not_affected,5.642857142857143,4,3.7142857142857144,3.3333333333333335
224,affected,3.7857142857142856,4.642857142857143,3.2857142857142856,2.75
225,not_affected,3.2857142857142856,5.857142857142857,4.428571428571429,2.4166666666666665
226,affected,5.928571428571429,6,4.571428571428571,2.8333333333333335
227,affected,3.5,5.214285714285714,4.142857142857143,3.4166666666666665
228,not_affected,3.5714285714285716,4.857142857142857,3.5714285714285716,3.25
229,affected,5.571428571428571,5.071428571428571,4.428571428571429,2.8333333333333335
230,affected,6,4.714285714285714,4.857142857142857,2.3333333333333335
231,affected,6,5.714285714285714,5.571428571428571,2.5833333333333335
232,not_affected,4.714285714285714,4.642857142857143,4.142857142857143,2.6666666666666665
233,not_affected,5.5,5.357142857142857,3.7142857142857144,2.3333333333333335
234,affected,1.9285714285714288,3.357142857142857,2.142857142857143,4.416666666666667
235,not_affected,3.5714285714285716,5.5,5.428571428571429,3.5833333333333335
236,affected,6,5.642857142857143,4.571428571428571,2.1666666666666665
237,affected,5.5,5.357142857142857,5.571428571428571,2.5833333333333335
238,not_affected,2.4285714285714284,5,4.428571428571429,2.8333333333333335
239,affected,5.928571428571429,5.5,4.714285714285714,2
240,affected,5.5,4.5,3.857142857142857,3.0833333333333335
241,affected,3.357142857142857,3.5,3,4
242,not_affected,5.714285714285714,4.285714285714286,5,2.5833333333333335
243,affected,6,4.857142857142857,5.142857142857143,2
244,affected,2.2857142857142856,4.214285714285714,1.7142857142857142,4.583333333333333
245,affected,2.7857142857142856,6,4,3.6666666666666665
246,affected,5,5.357142857142857,4.571428571428571,2.75
247,affected,4.285714285714286,4.714285714285714,4,2.1666666666666665
248,not_affected,5.357142857142857,4.5,4.428571428571429,3
249,not_affected,3.142857142857143,4.428571428571429,4,4.416666666666667
250,not_affected,5.642857142857143,4.714285714285714,4.571428571428571,2.5
251,not_affected,3,6,5.142857142857143,2.1666666666666665
252,affected,3.2857142857142856,4.214285714285714,3.2857142857142856,3.3333333333333335
253,affected,5.714285714285714,4.785714285714286,4.571428571428571,2.25
254,not_affected,4.571428571428571,4.642857142857143,3.5714285714285716,3.4166666666666665
255,affected,5,4.285714285714286,3.7142857142857144,3.3333333333333335
256,affected,4.5,5,4.857142857142857,2.5
257,not_affected,5.285714285714286,5.142857142857143,5.142857142857143,2.3333333333333335
258,affected,1.5,3.642857142857143,2.2857142857142856,3
259,not_affected,4.214285714285714,4.142857142857143,3.5714285714285716,3
260,affected,4.928571428571429,5.214285714285714,4.142857142857143,2.25
261,not_affected,3.857142857142857,4.5,3.4285714285714284,3.6666666666666665
262,not_affected,4.857142857142857,5.142857142857143,4.857142857142857,3.3333333333333335
263,not_affected,5.071428571428571,4,3.7142857142857144,2.6666666666666665
264,affected,2.2142857142857144,3.857142857142857,1.5714285714285714,4.583333333333333
265,affected,4.928571428571429,4.5,3.857142857142857,2.9166666666666665
266,not_affected,5.071428571428571,4.357142857142857,3,3.75
267,affected,5.428571428571429,4.5,3.5714285714285716,2.5833333333333335
268,not_affected,3.142857142857143,5.357142857142857,4.714285714285714,2.5833333333333335
269,affected,5.571428571428571,4.857142857142857,4.428571428571429,2.5
270,not_affected,6,5.357142857142857,5.571428571428571,1.6666666666666667
271,affected,4.714285714285714,5.214285714285714,3.7142857142857144,3.3333333333333335
272,affected,4.785714285714286,4.571428571428571,4.285714285714286,2.6666666666666665
273,not_affected,3.5,5.214285714285714,3.5714285714285716,3
274,not_affected,3.2857142857142856,3.7142857142857144,2.857142857142857,3.4166666666666665
275,affected,4.642857142857143,5.142857142857143,4.857142857142857,2
276,not_affected,5.142857142857143,5.285714285714286,4.714285714285714,2.25
277,affected,4.857142857142857,5.428571428571429,3.857142857142857,3
278,affected,4.214285714285714,4.357142857142857,3,2.25
279,affected,4.642857142857143,5.071428571428571,4.285714285714286,2.5
280,not_affected,5.642857142857143,4.857142857142857,4.142857142857143,3.5833333333333335
281,affected,3.857142857142857,5.857142857142857,3.7142857142857144,3.0833333333333335
282,affected,6,5.428571428571429,5.428571428571429,2.3333333333333335
283,affected,2.9285714285714284,4.928571428571429,3.7142857142857144,3.5
284,not_affected,5.928571428571429,5.5,4.571428571428571,3.25
285,not_affected,5.428571428571429,2.9285714285714284,3.857142857142857,3.25
286,not_affected,4,4.428571428571429,2.857142857142857,4.416666666666667
287,affected,3.5714285714285716,4.785714285714286,3.2857142857142856,3.3333333333333335
288,affected,3.5714285714285716,4.571428571428571,3.4285714285714284,3.5
289,not_affected,3.857142857142857,5.857142857142857,3.857142857142857,2.5
290,affected,5.285714285714286,4.785714285714286,4.285714285714286,2.8333333333333335
291,not_affected,5.857142857142857,4.071428571428571,5,3.25
292,not_affected,4.928571428571429,5.214285714285714,5.142857142857143,2
293,not_affected,4.928571428571429,5.357142857142857,4.857142857142857,1.75
294,affected,5.571428571428571,4.214285714285714,4.285714285714286,2.5833333333333335
295,affected,5.357142857142857,4.714285714285714,5.142857142857143,2.75
296,not_affected,2.5714285714285716,5.785714285714286,4.285714285714286,3.1666666666666665
297,not_affected,3.7142857142857144,5.785714285714286,4.857142857142857,1.75
298,affected,2.142857142857143,4.785714285714286,3,3.75
299,affected,5.5,3.7857142857142856,2.2857142857142856,2.25
300,not_affected,3.928571428571429,5.785714285714286,4.714285714285714,3.5
301,not_affected,5.357142857142857,5.285714285714286,4.571428571428571,2.5833333333333335
302,not_affected,5.214285714285714,4.642857142857143,3.5714285714285716,2.3333333333333335
303,affected,2.2857142857142856,5,4.428571428571429,2.3333333333333335
304,affected,3.5,5.214285714285714,3.7142857142857144,2.5833333333333335
305,affected,4.928571428571429,5.142857142857143,4.285714285714286,3.25
306,not_affected,5.928571428571429,4.642857142857143,4.857142857142857,2.1666666666666665
307,affected,2.7857142857142856,5.785714285714286,3,4.5
