comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
44,21,21,16,female,55_64,not_living_partner,dog,5,6
39,22,20,23,female,25_34,not_living_partner,cat,6,9
46,21,22,26,female,45_54,living_partner,dog,6,8
43,21,20,16,male,55_64,living_partner,dog,4,4
42,25,24,22,female,45_54,living_partner,cat,4,4
48,22,22,14,female,55_64,not_living_partner,dog,3,3
47,19,19,19,male,55_64,not_living_partner,dog,6,6
46,21,21,13,female,65_70,not_living_partner,cat,7,7
46,19,19,18,female,45_54,living_partner,dog,4,4
47,21,22,18,female,45_54,living_partner,cat,3,3
34,18,19,19,female,45_54,living_partner,dog,3,3
47,22,22,9,male,25_34,living_partner,dog,4,3
37,22,22,15,female,55_64,not_living_partner,dog,6,5
48,20,20,19,female,65_70,living_partner,dog,3,6
36,19,18,20,female,45_54,living_partner,dog,8,4
33,20,24,16,female,45_54,living_partner,dog,3,3
48,22,21,22,female,55_64,not_living_partner,dog,3,8
48,20,20,17,female,70_over,living_partner,cat,3,3
47,13,16,21,female,25_34,living_partner,dog,3,6
47,21,20,23,female,45_54,not_living_partner,dog,7,8
44,21,24,20,female,70_over,not_living_partner,cat,6,6
48,15,11,22,female,45_54,living_partner,dog,6,6
48,20,20,13,female,65_70,living_partner,dog,4,7
38,19,18,18,female,55_64,living_partner,cat,4,4
46,19,24,18,female,55_64,living_partner,dog,3,6
46,23,21,21,female,25_34,living_partner,dog,3,5
43,22,22,21,female,35_44,living_partner,dog,3,4
46,18,20,13,female,45_54,not_living_partner,dog,5,8
48,20,19,17,male,45_54,living_partner,dog,3,9
12,23,21,16,female,45_54,living_partner,dog,3,3
46,20,23,21,female,65_70,living_partner,dog,3,4
48,24,22,17,female,55_64,not_living_partner,dog,6,6
42,22,18,27,female,25_34,living_partner,dog,5,7
46,22,22,20,female,55_64,not_living_partner,dog,6,6
47,21,21,22,female,18_24,not_living_partner,dog,4,7
48,21,22,23,female,45_54,living_partner,dog,3,6
48,20,21,23,female,55_64,living_partner,cat,3,5
48,20,21,19,female,55_64,living_partner,dog,7,4
43,23,22,9,female,45_54,living_partner,cat,6,3
48,17,16,23,female,18_24,living_partner,cat,5,6
48,19,18,23,female,45_54,not_living_partner,dog,3,7
43,15,16,22,male,18_24,not_living_partner,small,6,6
44,18,18,21,another,25_34,not_living_partner,dog,8,8
48,25,22,18,female,55_64,living_partner,dog,3,3
47,17,20,21,female,45_54,living_partner,dog,6,5
40,23,23,26,female,55_64,living_partner,cat,3,6
46,20,17,25,female,18_24,living_partner,dog,4,7
48,26,22,11,female,35_44,living_partner,cat,4,5
41,17,17,23,female,25_34,living_partner,dog,6,6
46,13,15,31,female,35_44,not_living_partner,horse,8,8
45,16,22,20,female,25_34,not_living_partner,dog,6,5
28,18,20,18,female,65_70,not_living_partner,dog,6,6
44,21,21,21,female,35_44,not_living_partner,dog,6,8
46,22,20,14,female,25_34,living_partner,dog,3,3
39,23,23,22,female,45_54,living_partner,dog,3,6
43,21,21,21,female,55_64,living_partner,dog,3,3
41,19,19,20,female,18_24,not_living_partner,dog,3,5
48,16,17,14,female,35_44,not_living_partner,dog,6,5
48,22,21,9,female,70_over,not_living_partner,dog,3,4
46,20,18,15,female,25_34,living_partner,dog,3,8
47,25,20,12,female,65_70,not_living_partner,dog,3,4
48,20,20,9,female,45_54,living_partner,dog,3,3
47,16,18,22,female,55_64,not_living_partner,dog,8,9
48,24,24,24,female,65_70,living_partner,dog,3,3
48,20,20,13,female,45_54,living_partner,dog,3,3
47,21,17,13,female,55_64,not_living_partner,cat,3,4
40,21,22,12,female,35_44,living_partner,cat,4,5
48,21,20,27,female,55_64,living_partner,dog,8,9
43,21,21,12,female,55_64,not_living_partner,cat,3,3
41,19,18,20,female,18_24,not_living_partner,dog,4,6
48,21,19,23,female,25_34,not_living_partner,dog,4,8
48,23,19,15,female,25_34,not_living_partner,dog,5,7
42,21,18,13,female,45_54,living_partner,dog,4,3
48,19,19,26,female,45_54,not_living_partner,dog,6,9
44,17,24,17,female,25_34,living_partner,dog,5,4
48,18,21,14,female,45_54,living_partner,dog,3,3
48,20,20,20,female,25_34,living_partner,dog,6,6
47,18,20,17,female,45_54,not_living_partner,dog,3,6
48,20,22,20,female,55_64,not_living_partner,dog,3,7
