age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
15.73,1,1,46,29,33,22,24,34,31
15.88,0,1,36,7,21,20,25,28,22
13.33,1,0,38,6,12,19,22,35,25
14.86,1,1,40,19,20,23,18,31,24
13.8,1,0,42,7,14,22,19,33,31
12.84,0,1,34,7,11,18,17,32,18
14.3,1,1,44,10,18,22,20,35,23
12.16,1,0,37,8,12,22,19,28,20
13.95,1,1,36,13,22,18,20,25,17
14.67,0,0,35,9,26,19,13,25,27
14.99,1,1,40,26,27,19,16,32,33
14.02,0,0,44,6,12,22,22,35,24
14.84,1,1,25,7,14,19,21,27,11
14.3,0,1,45,19,27,22,19,34,21
15.19,1,0,33,14,18,21,16,30,29
13.88,0,1,36,11,21,21,21,32,21
13.03,1,1,41,17,26,23,23,31,23
14.78,1,1,35,8,31,12,14,24,25
12.42,0,0,35,12,16,18,15,26,22
14.93,1,0,29,6,15,20,21,31,18
14.66,0,1,37,18,17,23,22,27,16
12.7,1,1,38,7,18,24,25,33,25
15.75,1,1,39,13,17,19,19,27,22
12.8,1,1,29,10,19,20,18,26,13
15.64,0,1,42,6,9,19,22,30,20
14.73,0,1,29,19,23,12,14,25,23
14.26,1,1,44,18,25,21,18,34,16
14.02,0,1,39,8,11,21,19,33,23
14.65,1,1,36,9,20,22,21,31,15
15.31,1,0,47,6,18,24,21,35,22
14.88,1,1,38,7,19,24,25,34,28
15.55,1,1,35,8,29,24,24,34,29
14.44,0,0,36,6,14,18,22,32,15
13.11,1,1,45,6,11,25,25,35,28
15.54,1,0,33,18,23,22,18,29,27
14.85,0,1,33,8,16,17,22,30,14
13.02,1,1,41,24,25,25,16,32,27
14.01,1,1,37,13,21,22,18,32,23
14.7,0,1,42,7,14,25,22,35,27
